case_id,scenario,amount_at_risk,ground_truth_action,model_action,model_confidence,escalated,decision_source,policy_reason,decision_correct,simulated_recovered,simulated_amount_recovered,error,api_error
BATCH-0001,hard_decline,10050,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0002,soft_decline,13236,email,email,0.9,False,llm,,True,True,13236,,False
BATCH-0003,abandoned_checkout,2168,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0004,overdue_invoice,38211,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0005,hard_decline,12539,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0006,soft_decline,11164,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0007,abandoned_checkout,16991,email,email,0.8,False,llm,,True,True,16991,,False
BATCH-0008,overdue_invoice,134097,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0009,hard_decline,18916,escalate,escalate,0.8,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0010,soft_decline,11354,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0011,abandoned_checkout,7128,email,email,0.8,False,llm,,True,True,7128,,False
BATCH-0012,overdue_invoice,43113,email,email,0.8,False,llm,,True,True,43113,,False
BATCH-0013,hard_decline,7408,escalate,escalate,0.2,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0014,soft_decline,6621,email,email,0.8,False,llm,,True,True,6621,,False
BATCH-0015,abandoned_checkout,17089,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0016,overdue_invoice,74025,email,email,0.8,False,llm,,True,True,74025,,False
BATCH-0017,hard_decline,11205,escalate,escalate,0.2,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0018,soft_decline,7887,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0019,abandoned_checkout,13364,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0020,overdue_invoice,144368,email,email,0.8,False,llm,,True,True,144368,,False
BATCH-0021,hard_decline,19850,escalate,escalate,0.0,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0022,soft_decline,4371,email,email,0.8,False,llm,,True,True,4371,,False
BATCH-0023,abandoned_checkout,1616,email,email,0.8,False,llm,,True,True,1616,,False
BATCH-0024,overdue_invoice,24814,email,email,0.8,False,llm,,True,True,24814,,False
BATCH-0025,hard_decline,2803,escalate,escalate,0.9,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0026,soft_decline,10983,email,email,0.9,False,llm,,True,True,10983,,False
BATCH-0027,abandoned_checkout,18735,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0028,overdue_invoice,81463,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0029,hard_decline,22375,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0030,soft_decline,3771,email,email,0.9,False,llm,,True,True,3771,,False
BATCH-0031,abandoned_checkout,10946,email,email,0.8,False,llm,,True,True,10946,,False
BATCH-0032,overdue_invoice,122690,email,email,0.8,False,llm,,True,True,122690,,False
BATCH-0033,hard_decline,15198,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0034,soft_decline,11692,email,email,0.9,False,llm,,True,True,11692,,False
BATCH-0035,abandoned_checkout,1558,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0036,overdue_invoice,33062,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0037,hard_decline,21005,escalate,escalate,0.0,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0038,soft_decline,7011,email,email,0.9,False,llm,,True,True,7011,,False
BATCH-0039,abandoned_checkout,18062,email,email,0.9,False,llm,,True,True,18062,,False
BATCH-0040,overdue_invoice,97050,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0041,hard_decline,8650,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0042,soft_decline,4579,email,email,0.9,False,llm,,True,True,4579,,False
BATCH-0043,abandoned_checkout,1523,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0044,overdue_invoice,142454,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0045,hard_decline,14460,escalate,escalate,0.8,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0046,soft_decline,1151,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0047,abandoned_checkout,12261,email,email,0.7,False,llm,,True,True,12261,,False
BATCH-0048,overdue_invoice,47670,email,email,0.8,False,llm,,True,True,47670,,False
BATCH-0049,hard_decline,2144,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0050,soft_decline,4279,email,email,0.9,False,llm,,True,True,4279,,False
BATCH-0051,abandoned_checkout,18657,email,email,0.8,False,llm,,True,True,18657,,False
BATCH-0052,overdue_invoice,45599,email,email,0.8,False,llm,,True,True,45599,,False
BATCH-0053,hard_decline,20352,escalate,escalate,0.2,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0054,soft_decline,13756,email,email,0.9,False,llm,,True,True,13756,,False
BATCH-0055,abandoned_checkout,7842,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0056,overdue_invoice,22231,email,email,0.9,False,llm,,True,False,0,,False
BATCH-0057,hard_decline,14087,escalate,escalate,0.2,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0058,soft_decline,8814,email,email,0.9,False,llm,,True,True,8814,,False
BATCH-0059,abandoned_checkout,5678,email,email,0.8,False,llm,,True,True,5678,,False
BATCH-0060,overdue_invoice,133160,email,email,0.8,False,llm,,True,True,133160,,False
BATCH-0061,hard_decline,16400,escalate,escalate,0.9,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0062,soft_decline,6113,email,email,0.8,False,llm,,True,True,6113,,False
BATCH-0063,abandoned_checkout,5678,email,email,0.8,False,llm,,True,True,5678,,False
BATCH-0064,overdue_invoice,97799,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0065,hard_decline,10067,escalate,escalate,0.2,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0066,soft_decline,5767,email,email,0.8,False,llm,,True,True,5767,,False
BATCH-0067,abandoned_checkout,8351,email,email,0.8,False,llm,,True,True,8351,,False
BATCH-0068,overdue_invoice,115388,email,email,0.8,False,llm,,True,True,115388,,False
BATCH-0069,hard_decline,16277,escalate,escalate,0.9,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0070,soft_decline,12847,email,email,0.8,False,llm,,True,True,12847,,False
BATCH-0071,abandoned_checkout,11910,email,email,0.85,False,llm,,True,False,0,,False
BATCH-0072,overdue_invoice,72817,email,email,0.8,False,llm,,True,True,72817,,False
BATCH-0073,hard_decline,13232,escalate,escalate,0.2,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0074,soft_decline,4759,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0075,abandoned_checkout,19933,email,email,0.8,False,llm,,True,True,19933,,False
BATCH-0076,overdue_invoice,141807,email,email,0.8,False,llm,,True,True,141807,,False
BATCH-0077,hard_decline,12245,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0078,soft_decline,7007,email,email,0.8,False,llm,,True,True,7007,,False
BATCH-0079,abandoned_checkout,1684,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0080,overdue_invoice,121778,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0081,hard_decline,6287,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0082,soft_decline,3315,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0083,abandoned_checkout,6678,email,email,0.8,False,llm,,True,True,6678,,False
BATCH-0084,overdue_invoice,137263,email,email,0.8,False,llm,,True,True,137263,,False
BATCH-0085,hard_decline,24227,escalate,escalate,0.2,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0086,soft_decline,7500,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0087,abandoned_checkout,14269,email,email,0.8,False,llm,,True,True,14269,,False
BATCH-0088,overdue_invoice,122166,email,email,0.8,False,llm,,True,True,122166,,False
BATCH-0089,hard_decline,5189,escalate,escalate,0.1,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0090,soft_decline,1976,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0091,abandoned_checkout,1932,email,email,0.8,False,llm,,True,True,1932,,False
BATCH-0092,overdue_invoice,59933,email,email,0.8,False,llm,,True,False,0,,False
BATCH-0093,hard_decline,17293,escalate,escalate,0.9,True,policy,hard_decline_requires_human_escalation,True,False,0,,False
BATCH-0094,soft_decline,12531,email,email,0.9,False,llm,,True,True,12531,,False
BATCH-0095,abandoned_checkout,19945,email,email,0.8,False,llm,,True,False,0,,False
