case_id,scenario,amount_at_risk,ground_truth_action,model_action,model_confidence,escalated,decision_correct,simulated_recovered,simulated_amount_recovered,error,api_error
BATCH-0001,hard_decline,10050,escalate,escalate,0.1,True,True,False,0,,False
BATCH-0002,soft_decline,13236,email,email,0.9,False,True,True,13236,,False
BATCH-0003,abandoned_checkout,2168,email,email,0.8,False,True,False,0,,False
BATCH-0004,overdue_invoice,38211,email,email,0.8,False,True,False,0,,False
BATCH-0005,hard_decline,12539,escalate,escalate,0.1,True,True,False,0,,False
BATCH-0006,soft_decline,11164,email,email,0.9,False,True,False,0,,False
BATCH-0007,abandoned_checkout,16991,email,email,0.8,False,True,True,16991,,False
BATCH-0008,overdue_invoice,134097,email,email,0.8,False,True,False,0,,False
BATCH-0009,hard_decline,18916,escalate,escalate,0.2,True,True,False,0,,False
BATCH-0010,soft_decline,11354,email,email,0.9,False,True,False,0,,False
BATCH-0011,abandoned_checkout,7128,email,email,0.8,False,True,True,7128,,False
BATCH-0012,overdue_invoice,43113,email,email,0.8,False,True,True,43113,,False
BATCH-0013,hard_decline,7408,escalate,escalate,0.1,True,True,False,0,,False
BATCH-0014,soft_decline,6621,email,email,0.8,False,True,True,6621,,False
BATCH-0015,abandoned_checkout,17089,email,email,0.8,False,True,False,0,,False
BATCH-0016,overdue_invoice,74025,email,email,0.8,False,True,True,74025,,False
BATCH-0017,hard_decline,11205,escalate,email,0.8,False,False,False,0,,False
BATCH-0018,soft_decline,7887,email,email,0.8,False,True,False,0,,False
BATCH-0019,abandoned_checkout,13364,email,email,0.8,False,True,False,0,,False
BATCH-0020,overdue_invoice,144368,email,email,0.8,False,True,True,144368,,False
